타임스탬프,"질문 1 ) 새로운 가전이 놓일 공간, 어떤 무드를 꿈꾸시나요? (가장 마음에 드는 인테리어 스타일을 하나 선택해주세요.)",질문 2 ) 이 공간에서 함께 생활하는 메이트는 누구인가요?,질문 2-1) 혹시 사랑스러운 반려동물(댕냥이)과 함께하시나요?,질문 3) 가전을 설치할 곳의 '주거 형태'는 무엇인가요?,질문 3-1) (원룸 제외) 가전을 배치할 '주요 공간'은 어디인가요?,"질문 3-2) 해당 공간의 크기는 대략 어느 정도인가요? ( 정확한 수치 입력: ____ 평 / ____ ㎡  )
* 전체 선택 시 전체 공간 크기 입력","질문 4 ) 가전 선택 시, 나에게 절대 포기할 수 없는 한 가지는? (추천 결과의 1순위를 결정하는 중요한 질문이에요.)",질문 5) 생각하고 계신 전체 가전 구매 예산 범위는 어느 정도인가요? [가전 구매 예산 범위 (전체 금액)],질문 5) 생각하고 계신 전체 가전 구매 예산 범위는 어느 정도인가요? [선호하는 제품 라인업],[추가 질문]주방의 '냉장고 장(설치 공간)' 깊이는 어떤가요?,[추가 질문]  세탁실 공간 활용은 어떻게 하고 싶으신가요?,[추가 질문]  소파(시청 위치)에서 TV 벽까지의 거리는 대략 얼마인가요?
2025. 11. 27 오후 7:06:37,모던 & 미니멀 (Modern & Minimal): 화이트/블랙 톤의 깔끔한 공간을 선호,나 혼자 산다 (1인 가구),"아니요, 없습니다.",원룸/투룸,,7평,"인테리어를 완성하는 '디자인' (오브제컬렉션, 무드업 등 디자인 모델 우선)",500만원 미만 (실속형),500만원 미만 (실속형),"잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",좁은 공간을 위로 길게 활용하고 싶어요 (타워형/WashTower 선호),성인 한 명이 누울 정도 (약 1.8m ~ 2m)
2025. 11. 27 오후 7:18:57,"럭셔리 & 아티스틱 (Luxury & Artistic): 대리석, 갤러리 같은 고급스러운 분위기를 선호",아이가 있는 3~4인 가족,"아니요, 없습니다.",주택,"거실, 방(침실), 주방, 드레스룸, 서재",40평,"삶을 편하게 해주는 최신 'AI/스마트 기능' (음성인식, AI 기능 등 첨단 기술 우선)","1,500만원 ~ 3,000만원 (고급형)","1,500만원 ~ 3,000만원 (고급형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁기와 건조기를 나란히 두거나 따로 두고 싶어요 (개별 모델 선호),꽤 멀어요 (2.5m 이상)
2025. 11. 27 오후 7:47:05,"코지 & 네이처 (Cozy & Nature): 우드 톤 가구, 베이지색 벽지 등 따뜻하고 자연적인 공간을 선호",우리 둘이 알콩달콩 (2인/신혼),"네, 함께합니다. (펫 케어 기능 추천 가중치 부여)",기타,"거실, 주방",7평,"최고의 성능을 합리적으로 누리는 '가성비' (프로모션 모델, 가격 대비 성능 우선)","500만원 ~ 1,500만원 (표준형)","500만원 ~ 1,500만원 (표준형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁실 공간이 부족하여 일체형으로 사용하고 싶어요 (세탁/건조 콤보형 선호),성인 한 명이 누울 정도 (약 1.8m ~ 2m)
2025. 11. 27 오후 7:51:17,"코지 & 네이처 (Cozy & Nature): 우드 톤 가구, 베이지색 벽지 등 따뜻하고 자연적인 공간을 선호",나 혼자 산다 (1인 가구),"아니요, 없습니다.",오피스텔,거실,10평,"최고의 성능을 합리적으로 누리는 '가성비' (프로모션 모델, 가격 대비 성능 우선)",500만원 미만 (실속형),500만원 미만 (실속형),"잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁기와 건조기를 나란히 두거나 따로 두고 싶어요 (개별 모델 선호),성인 한 명이 누울 정도 (약 1.8m ~ 2m)
2025. 11. 27 오후 8:01:22,"코지 & 네이처 (Cozy & Nature): 우드 톤 가구, 베이지색 벽지 등 따뜻하고 자연적인 공간을 선호",우리 둘이 알콩달콩 (2인/신혼),"네, 함께합니다. (펫 케어 기능 추천 가중치 부여)",아파트,거실,30평,"인테리어를 완성하는 '디자인' (오브제컬렉션, 무드업 등 디자인 모델 우선)","500만원 ~ 1,500만원 (표준형)","1,500만원 ~ 3,000만원 (고급형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",좁은 공간을 위로 길게 활용하고 싶어요 (타워형/WashTower 선호),꽤 멀어요 (2.5m 이상)
2025. 11. 27 오후 8:12:03,모던 & 미니멀 (Modern & Minimal): 화이트/블랙 톤의 깔끔한 공간을 선호,우리 둘이 알콩달콩 (2인/신혼),"네, 함께합니다. (펫 케어 기능 추천 가중치 부여)",아파트,거실,35,"인테리어를 완성하는 '디자인' (오브제컬렉션, 무드업 등 디자인 모델 우선)","1,500만원 ~ 3,000만원 (고급형)","1,500만원 ~ 3,000만원 (고급형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁기와 건조기를 나란히 두거나 따로 두고 싶어요 (개별 모델 선호),꽤 멀어요 (2.5m 이상)
2025. 11. 27 오후 8:13:55,"코지 & 네이처 (Cozy & Nature): 우드 톤 가구, 베이지색 벽지 등 따뜻하고 자연적인 공간을 선호",아이가 있는 3~4인 가족,"아니요, 없습니다.",아파트,거실,35평,"최고의 성능을 합리적으로 누리는 '가성비' (프로모션 모델, 가격 대비 성능 우선)","500만원 ~ 1,500만원 (표준형)","500만원 ~ 1,500만원 (표준형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁기와 건조기를 나란히 두거나 따로 두고 싶어요 (개별 모델 선호),꽤 멀어요 (2.5m 이상)
2025. 11. 27 오후 8:40:29,모던 & 미니멀 (Modern & Minimal): 화이트/블랙 톤의 깔끔한 공간을 선호,아이가 있는 3~4인 가족,"아니요, 없습니다.",아파트,"거실, 주방",15평,"최고의 성능을 합리적으로 누리는 '가성비' (프로모션 모델, 가격 대비 성능 우선)","500만원 ~ 1,500만원 (표준형)","500만원 ~ 1,500만원 (표준형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁실 공간이 부족하여 일체형으로 사용하고 싶어요 (세탁/건조 콤보형 선호),성인 한 명이 누울 정도 (약 1.8m ~ 2m)
2025. 11. 27 오후 9:22:15,"코지 & 네이처 (Cozy & Nature): 우드 톤 가구, 베이지색 벽지 등 따뜻하고 자연적인 공간을 선호",우리 둘이 알콩달콩 (2인/신혼),"아니요, 없습니다.",아파트,"거실, 방(침실)",10평,"최고의 성능을 합리적으로 누리는 '가성비' (프로모션 모델, 가격 대비 성능 우선)","500만원 ~ 1,500만원 (표준형)","500만원 ~ 1,500만원 (표준형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",좁은 공간을 위로 길게 활용하고 싶어요 (타워형/WashTower 선호),성인 한 명이 누울 정도 (약 1.8m ~ 2m)
2025. 11. 27 오후 9:33:29,"코지 & 네이처 (Cozy & Nature): 우드 톤 가구, 베이지색 벽지 등 따뜻하고 자연적인 공간을 선호",아이가 있는 3~4인 가족,"아니요, 없습니다.",아파트,거실,34평,"인테리어를 완성하는 '디자인' (오브제컬렉션, 무드업 등 디자인 모델 우선)","1,500만원 ~ 3,000만원 (고급형)","1,500만원 ~ 3,000만원 (고급형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁기와 건조기를 나란히 두거나 따로 두고 싶어요 (개별 모델 선호),꽤 멀어요 (2.5m 이상)
2025. 11. 27 오후 9:33:36,모던 & 미니멀 (Modern & Minimal): 화이트/블랙 톤의 깔끔한 공간을 선호,나 혼자 산다 (1인 가구),"네, 함께합니다. (펫 케어 기능 추천 가중치 부여)",아파트,거실,15,"삶을 편하게 해주는 최신 'AI/스마트 기능' (음성인식, AI 기능 등 첨단 기술 우선)","500만원 ~ 1,500만원 (표준형)","1,500만원 ~ 3,000만원 (고급형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁실 공간이 부족하여 일체형으로 사용하고 싶어요 (세탁/건조 콤보형 선호),꽤 멀어요 (2.5m 이상)
2025. 11. 27 오후 10:23:25,모던 & 미니멀 (Modern & Minimal): 화이트/블랙 톤의 깔끔한 공간을 선호,아이가 있는 3~4인 가족,"아니요, 없습니다.",아파트,주방,2평,"인테리어를 완성하는 '디자인' (오브제컬렉션, 무드업 등 디자인 모델 우선)","500만원 ~ 1,500만원 (표준형)","500만원 ~ 1,500만원 (표준형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁기와 건조기를 나란히 두거나 따로 두고 싶어요 (개별 모델 선호),꽤 멀어요 (2.5m 이상)
2025. 11. 27 오후 11:46:04,"코지 & 네이처 (Cozy & Nature): 우드 톤 가구, 베이지색 벽지 등 따뜻하고 자연적인 공간을 선호",아이가 있는 3~4인 가족,"아니요, 없습니다.",아파트,거실,10평,"최고의 성능을 합리적으로 누리는 '가성비' (프로모션 모델, 가격 대비 성능 우선)","500만원 ~ 1,500만원 (표준형)","1,500만원 ~ 3,000만원 (고급형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",소량 세탁을 자주 해서 미니워시가 있으면 좋겠어요 (트윈워시 옵션 선호),꽤 멀어요 (2.5m 이상)
2025. 11. 28 오전 10:12:10,"코지 & 네이처 (Cozy & Nature): 우드 톤 가구, 베이지색 벽지 등 따뜻하고 자연적인 공간을 선호",우리 둘이 알콩달콩 (2인/신혼),"아니요, 없습니다.",아파트,"거실, 방(침실), 주방",30평,전기요금을 아껴주는 '에너지 효율' (에너지소비효율 1등급 모델 최우선),"1,500만원 ~ 3,000만원 (고급형)","1,500만원 ~ 3,000만원 (고급형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",좁은 공간을 위로 길게 활용하고 싶어요 (타워형/WashTower 선호),꽤 멀어요 (2.5m 이상)
2025. 11. 28 오전 10:12:30,모던 & 미니멀 (Modern & Minimal): 화이트/블랙 톤의 깔끔한 공간을 선호,우리 둘이 알콩달콩 (2인/신혼),"아니요, 없습니다.",아파트,"거실, 주방",40평형 아파트,전기요금을 아껴주는 '에너지 효율' (에너지소비효율 1등급 모델 최우선),"1,500만원 ~ 3,000만원 (고급형)","1,500만원 ~ 3,000만원 (고급형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁기와 건조기를 나란히 두거나 따로 두고 싶어요 (개별 모델 선호),꽤 멀어요 (2.5m 이상)
2025. 11. 28 오전 10:45:24,"코지 & 네이처 (Cozy & Nature): 우드 톤 가구, 베이지색 벽지 등 따뜻하고 자연적인 공간을 선호",우리 둘이 알콩달콩 (2인/신혼),"아니요, 없습니다.",아파트,거실,전체 54평,"최고의 성능을 합리적으로 누리는 '가성비' (프로모션 모델, 가격 대비 성능 우선)","500만원 ~ 1,500만원 (표준형)","500만원 ~ 1,500만원 (표준형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁실 공간이 부족하여 일체형으로 사용하고 싶어요 (세탁/건조 콤보형 선호),꽤 멀어요 (2.5m 이상)
2025. 11. 28 오전 11:50:20,모던 & 미니멀 (Modern & Minimal): 화이트/블랙 톤의 깔끔한 공간을 선호,아이가 있는 3~4인 가족,"아니요, 없습니다.",아파트,주방,3평,"삶을 편하게 해주는 최신 'AI/스마트 기능' (음성인식, AI 기능 등 첨단 기술 우선)","500만원 ~ 1,500만원 (표준형)","500만원 ~ 1,500만원 (표준형)","잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁실 공간이 부족하여 일체형으로 사용하고 싶어요 (세탁/건조 콤보형 선호),성인 한 명이 누울 정도 (약 1.8m ~ 2m)
2025. 11. 28 오후 2:44:28,"코지 & 네이처 (Cozy & Nature): 우드 톤 가구, 베이지색 벽지 등 따뜻하고 자연적인 공간을 선호",나 혼자 산다 (1인 가구),"아니요, 없습니다.",주택,"거실, 방(침실)",20평,"인테리어를 완성하는 '디자인' (오브제컬렉션, 무드업 등 디자인 모델 우선)",500만원 미만 (실속형),500만원 미만 (실속형),"잘 모르겠지만, 튀어나오지 않고 딱 맞으면 좋겠어요 (키친핏/빌트인 타입 선호)",세탁실 공간이 부족하여 일체형으로 사용하고 싶어요 (세탁/건조 콤보형 선호),성인 한 명이 누울 정도 (약 1.8m ~ 2m)
